id,abbr,state,medianAge,income50K,poverty,healthcare,heartAttack,heavyDrinker
1,AL,Alabama,38.6,38.8,19.3,13.9,5.9,4.5
2,AK,Alaska,33.3,55.6,11.2,15,3.3,8.8
4,AZ,Arizona,36.9,40.8,18.2,14.4,4.4,5.8
5,AR,Arkansas,37.8,32.9,18.9,16.3,6.7,5.1
6,CA,California,36,44.6,16.4,14.8,3.5,5.7
8,CO,Colorado,36.3,53,12,12.8,3.1,6.5
9,CT,Connecticut,40.5,56.5,10.8,8.7,3.7,5.7
10,DE,Delaware,39.6,48.4,12.5,8.7,5,5.2
11,DC,District of Columbia,33.8,53.7,17.7,8.3,2.6,9
12,FL,Florida,41.6,40.1,16.5,17.6,5.3,6.7
13,GA,Georgia,36.1,41.5,18.3,20.9,4.5,5.3
15,HI,Hawaii,38.1,49.1,11.4,8.1,3.1,7.9
16,ID,Idaho,35.9,41.9,14.8,16.5,3.7,5
17,IL,Illinois,37.5,48.1,14.4,11.9,3.7,6.5
18,IN,Indiana,37.4,41.3,15.2,14.8,5,5.2
19,IA,Iowa,38.2,47.7,12.2,7.7,4.4,6.3
20,KS,Kansas,36.2,45.9,13.6,14.5,4.2,5.1
21,KY,Kentucky,38.5,37.4,19.1,10,6.8,5.5
22,LA,Louisiana,36.1,40.8,19.8,18.7,5.2,6.5
23,ME,Maine,44.1,42.9,14.1,11,5.5,7.1
24,MD,Maryland,38.3,58,10.1,9.2,3.2,5.3
25,MA,Massachusetts,39.4,54,11.6,4.6,4.1,7
26,MI,Michigan,39.6,44.7,16.2,10.3,5.2,6.8
27,MN,Minnesota,37.8,53.6,11.5,7.3,3.8,6.4
28,MS,Mississippi,36.7,30.5,21.5,18.8,4.9,4.3
29,MO,Missouri,38.5,44.5,15.5,12.9,5.4,5.2
30,MT,Montana,39.6,41.4,15.4,12.9,4.2,7.5
31,NE,Nebraska,36.2,46.6,12.4,12.4,3.8,6.4
32,NV,Nevada,37.4,44,15.2,17.1,4.8,6.9
33,NH,New Hampshire,42.5,55.8,9.2,11.4,3.8,7.1
34,NJ,New Jersey,39.4,55.9,11.1,12.5,4.2,4.8
35,NM,New Mexico,37.2,34.6,21.3,15.4,4.2,5.7
36,NY,New York,38.2,45.9,15.9,12.3,3.8,4.9
37,NC,North Carolina,38.3,40,17.2,16.1,5.1,5.1
38,ND,North Dakota,35.1,51.8,11.5,8.8,4.6,6.7
39,OH,Ohio,39.4,44,15.8,10.2,5.4,6.4
40,OK,Oklahoma,36.2,40.2,16.6,13.9,5.5,3.9
41,OR,Oregon,39.3,43.4,16.6,11,4.6,7.7
42,PA,Pennsylvania,40.7,47.1,13.6,10.1,4.8,6
44,RI,Rhode Island,39.8,49.1,14.3,8,4.3,6.2
45,SC,South Carolina,38.8,37.7,18,17.1,4.6,5.9
46,SD,South Dakota,36.6,45.2,14.2,9.9,5.1,5
47,TN,Tennessee,38.6,37.2,18.3,14.2,5.7,4.1
48,TX,Texas,34.3,42.4,17.2,24.9,3.7,5.8
49,UT,Utah,30.5,51.5,11.7,13.9,2.9,3.3
50,VT,Vermont,42.8,48.2,12.2,6.7,3.8,9.1
51,VA,Virginia,37.7,52.1,11.8,13.1,4.2,5.3
53,WA,Washington,37.5,51.9,13.2,10.7,3.8,6.8
54,WV,West Virginia,41.9,35.3,18.3,10.1,7.4,3.6
55,WI,Wisconsin,39.2,46.6,13.2,8.5,3.7,7.2
56,WY,Wyoming,36.6,50.7,11.2,15.1,4.6,6.2
,,,,7.9,,,5.3,3.8
